f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -5.26971603 	 -5.26971580
-3.72051282 	 -5.27390984 	 -5.27390962
-3.74102564 	 -5.27792371 	 -5.27792328
-3.76153846 	 -5.28176502 	 -5.28176461
-3.78205128 	 -5.28544077 	 -5.28544037
-3.80256410 	 -5.28895730 	 -5.28895692
-3.82307692 	 -5.29232102 	 -5.29232066
-3.84358974 	 -5.29553840 	 -5.29553805
-3.86410256 	 -5.29861503 	 -5.29861469
-3.88461538 	 -5.30155740 	 -5.30155707
-3.90512821 	 -5.30437032 	 -5.30437001
-3.92564103 	 -5.30705995 	 -5.30705965
-3.94615385 	 -5.30963073 	 -5.30963044
-3.96666667 	 -5.31208824 	 -5.31208790
-3.98717949 	 -5.31443670 	 -5.31443637
-4.00769231 	 -5.31668126 	 -5.31668095
-4.02820513 	 -5.31882618 	 -5.31882587
-4.04871795 	 -5.32087530 	 -5.32087501
-4.06923077 	 -5.32283337 	 -5.32283309
-4.08974359 	 -5.32470398 	 -5.32470372
-4.11025641 	 -5.32649092 	 -5.32649067
-4.13076923 	 -5.32819792 	 -5.32819768
-4.15128205 	 -5.32982827 	 -5.32982804
-4.17179487 	 -5.33138540 	 -5.33138498
-4.19230769 	 -5.33287251 	 -5.33287210
-4.21282051 	 -5.33429309 	 -5.33429270
-4.23333333 	 -5.33564930 	 -5.33564893
-4.25384615 	 -5.33694446 	 -5.33694410
-4.27435897 	 -5.33818080 	 -5.33818045
-4.29487179 	 -5.33936172 	 -5.33936140
-4.31538462 	 -5.34048885 	 -5.34048854
-4.33589744 	 -5.34156507 	 -5.34156477
-4.35641026 	 -5.34259251 	 -5.34259227
-4.37692308 	 -5.34357349 	 -5.34357326
-4.39743590 	 -5.34450984 	 -5.34450961
-4.41794872 	 -5.34540390 	 -5.34540348
-4.43846154 	 -5.34625674 	 -5.34625633
-4.45897436 	 -5.34707115 	 -5.34707076
-4.47948718 	 -5.34784861 	 -5.34784824
-4.50000000 	 -5.34859035 	 -5.34859000
