f0           	 log10(rhophA) 	 log10(rhophB)
-0.00100000 	 0.06572163  	 0.06572191 
-0.04644444 	 -0.20820746 	 -0.20820709
-0.09188889 	 -0.31809266 	 -0.31809229
-0.13733333 	 -0.40005449 	 -0.40005411
-0.18277778 	 -0.47033218 	 -0.47033181
-0.22822222 	 -0.53420541 	 -0.53420503
-0.27366667 	 -0.59406509 	 -0.59406472
-0.31911111 	 -0.65119879 	 -0.65119841
-0.36455556 	 -0.70638263 	 -0.70638226
-0.41000000 	 -0.76012129 	 -0.76012092
-0.45544444 	 -0.81276303 	 -0.81276266
-0.50088889 	 -0.86456066 	 -0.86456029
-0.54633333 	 -0.91570380 	 -0.91570342
-0.59177778 	 -0.96634117 	 -0.96634079
-0.63722222 	 -1.01659132 	 -1.01659094
-0.68266667 	 -1.06655387 	 -1.06655349
-0.72811111 	 -1.11631343 	 -1.11631305
-0.77355556 	 -1.16594410 	 -1.16594372
-0.81900000 	 -1.21551317 	 -1.21551279
-0.86444444 	 -1.26508383 	 -1.26508344
-0.90988889 	 -1.31471647 	 -1.31471608
-0.95533333 	 -1.36447009 	 -1.36446970
-1.00077778 	 -1.41440439 	 -1.41440399
-1.04622222 	 -1.46458149 	 -1.46458109
-1.09166667 	 -1.51506599 	 -1.51506559
-1.13711111 	 -1.56592827 	 -1.56592787
-1.18255556 	 -1.61724425 	 -1.61724383
-1.22800000 	 -1.66909776 	 -1.66909734
-1.27344444 	 -1.72158399 	 -1.72158357
-1.31888889 	 -1.77480890 	 -1.77480847
-1.36433333 	 -1.82889399 	 -1.82889377
-1.40977778 	 -1.88397978 	 -1.88397956
-1.45522222 	 -1.94022768 	 -1.94022745
-1.50066667 	 -1.99782455 	 -1.99782431
-1.54611111 	 -2.05698582 	 -2.05698558
-1.59155556 	 -2.11795411 	 -2.11795386
-1.63700000 	 -2.18098626 	 -2.18098600
-1.68244444 	 -2.24630489 	 -2.24630461
-1.72788889 	 -2.31397679 	 -2.31397651
-1.77333333 	 -2.38376572 	 -2.38376541
-1.81877778 	 -2.45518899 	 -2.45518867
-1.86422222 	 -2.52773894 	 -2.52773860
-1.90966667 	 -2.60098026 	 -2.60097990
-1.95511111 	 -2.67454040 	 -2.67454001
-2.00055556 	 -2.74808894 	 -2.74808863
-2.04600000 	 -2.82132223 	 -2.82132190
-2.09144444 	 -2.89395546 	 -2.89395511
-2.13688889 	 -2.96571774 	 -2.96571736
-2.18233333 	 -3.03635073 	 -3.03635033
-2.22777778 	 -3.10560963 	 -3.10560921
-2.27322222 	 -3.17326229 	 -3.17326207
-2.31866667 	 -3.23909343 	 -3.23909319
-2.36411111 	 -3.30290476 	 -3.30290451
-2.40955556 	 -3.36451898 	 -3.36451872
-2.45500000 	 -3.42378218 	 -3.42378192
-2.50044444 	 -3.48056469 	 -3.48056442
-2.54588889 	 -3.53476362 	 -3.53476335
-2.59133333 	 -3.58630360 	 -3.58630332
-2.63677778 	 -3.63513627 	 -3.63513599
-2.68222222 	 -3.68124007 	 -3.68123979
-2.72766667 	 -3.72461936 	 -3.72461909
-2.77311111 	 -3.76530175 	 -3.76530148
-2.81855556 	 -3.80333550 	 -3.80333523
-2.86400000 	 -3.83878835 	 -3.83878809
-2.90944444 	 -3.87174363 	 -3.87174337
-2.95488889 	 -3.90229639 	 -3.90229614
-3.00033333 	 -3.93055316 	 -3.93055292
-3.04577778 	 -3.95662654 	 -3.95662632
-3.09122222 	 -3.98063448 	 -3.98063405
-3.13666667 	 -4.00269688 	 -4.00269648
-3.18211111 	 -4.02293554 	 -4.02293515
-3.22755556 	 -4.04146962 	 -4.04146926
-3.27300000 	 -4.05841725 	 -4.05841691
-3.31844444 	 -4.07389224 	 -4.07389193
-3.36388889 	 -4.08800450 	 -4.08800411
-3.40933333 	 -4.10085915 	 -4.10085878
-3.45477778 	 -4.11255589 	 -4.11255556
-3.50022222 	 -4.12318832 	 -4.12318800
-3.54566667 	 -4.13284498 	 -4.13284469
-3.59111111 	 -4.14160850 	 -4.14160824
-3.63655556 	 -4.14955536 	 -4.14955512
-3.68200000 	 -4.15675722 	 -4.15675700
-3.72744444 	 -4.16328006 	 -4.16327966
-3.77288889 	 -4.16918448 	 -4.16918411
-3.81833333 	 -4.17452635 	 -4.17452601
-3.86377778 	 -4.17935752 	 -4.17935722
-3.90922222 	 -4.18372471 	 -4.18372443
-3.95466667 	 -4.18767110 	 -4.18767078
-4.00011111 	 -4.19123647 	 -4.19123618
-4.04555556 	 -4.19445636 	 -4.19445610
-4.09100000 	 -4.19736329 	 -4.19736306
-4.13644444 	 -4.19998758 	 -4.19998718
-4.18188889 	 -4.20235549 	 -4.20235513
-4.22733333 	 -4.20449206 	 -4.20449173
-4.27277778 	 -4.20641941 	 -4.20641910
-4.31822222 	 -4.20815792 	 -4.20815769
-4.36366667 	 -4.20972586 	 -4.20972544
-4.40911111 	 -4.21113950 	 -4.21113912
-4.45455556 	 -4.21241410 	 -4.21241375
-4.50000000 	 -4.21356326 	 -4.21356301
