f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.40287489 	 -1.40287450
-0.91116276 	 -1.30532631 	 -1.30532593
-0.83021757 	 -1.21688386 	 -1.21688349
-0.75646333 	 -1.13636503 	 -1.13636466
-0.68926121 	 -1.06281674 	 -1.06281637
-0.62802914 	 -0.99544810 	 -0.99544773
-0.57223677 	 -0.93358893 	 -0.93358856
-0.52140083 	 -0.87666177 	 -0.87666140
-0.47508102 	 -0.82416377 	 -0.82416341
-0.43287613 	 -0.77565296 	 -0.77565259
-0.39442061 	 -0.73073832 	 -0.73073796
-0.35938137 	 -0.68907192 	 -0.68907156
-0.32745492 	 -0.65034296 	 -0.65034259
-0.29836472 	 -0.61427364 	 -0.61427327
-0.27185882 	 -0.58061365 	 -0.58061328
-0.24770764 	 -0.54913915 	 -0.54913878
-0.22570197 	 -0.51964733 	 -0.51964697
-0.20565123 	 -0.49195569 	 -0.49195533
-0.18738174 	 -0.46589948 	 -0.46589912
-0.17073526 	 -0.44132980 	 -0.44132943
-0.15556761 	 -0.41811259 	 -0.41811223
-0.14174742 	 -0.39612555 	 -0.39612519
-0.12915497 	 -0.37525875 	 -0.37525839
-0.11768120 	 -0.35541300 	 -0.35541264
-0.10722672 	 -0.33649770 	 -0.33649734
-0.09770100 	 -0.31843198 	 -0.31843162
-0.08902151 	 -0.30114192 	 -0.30114155
-0.08111308 	 -0.28456150 	 -0.28456114
-0.07390722 	 -0.26863011 	 -0.26862974
-0.06734151 	 -0.25329411 	 -0.25329375
-0.06135907 	 -0.23850493 	 -0.23850456
-0.05590810 	 -0.22421900 	 -0.22421863
-0.05094138 	 -0.21039763 	 -0.21039726
-0.04641589 	 -0.19700522 	 -0.19700485
-0.04229243 	 -0.18401144 	 -0.18401108
-0.03853529 	 -0.17138918 	 -0.17138881
-0.03511192 	 -0.15911378 	 -0.15911341
-0.03199267 	 -0.14716472 	 -0.14716436
-0.02915053 	 -0.13552393 	 -0.13552357
-0.02656088 	 -0.12417623 	 -0.12417587
-0.02420128 	 -0.11310919 	 -0.11310882
-0.02205131 	 -0.10231199 	 -0.10231162
-0.02009233 	 -0.09177761 	 -0.09177724
-0.01830738 	 -0.08149929 	 -0.08149892
-0.01668101 	 -0.07147439 	 -0.07147402
-0.01519911 	 -0.06170074 	 -0.06170037
-0.01384886 	 -0.05217852 	 -0.05217814
-0.01261857 	 -0.04290989 	 -0.04290951
-0.01149757 	 -0.03389848 	 -0.03389810
-0.01047616 	 -0.02515048 	 -0.02515010
-0.00954548 	 -0.01667156 	 -0.01667118
-0.00869749 	 -0.00847128 	 -0.00847089
-0.00792483 	 -0.00055884 	 -0.00055846
-0.00722081 	 0.00705466  	 0.00705504 
-0.00657933 	 0.01435768  	 0.01435807 
-0.00599484 	 0.02133680  	 0.02133719 
-0.00546228 	 0.02797877  	 0.02797917 
-0.00497702 	 0.03426970  	 0.03427010 
-0.00453488 	 0.04019489  	 0.04019530 
-0.00413201 	 0.04573981  	 0.04574022 
-0.00376494 	 0.05089056  	 0.05089098 
-0.00343047 	 0.05563303  	 0.05563345 
-0.00312572 	 0.05995317  	 0.05995360 
-0.00284804 	 0.06383946  	 0.06383989 
-0.00259502 	 0.06727956  	 0.06727978 
-0.00236449 	 0.07026337  	 0.07026359 
-0.00215443 	 0.07278237  	 0.07278259 
-0.00196304 	 0.07482889  	 0.07482912 
-0.00178865 	 0.07639728  	 0.07639751 
-0.00162975 	 0.07748408  	 0.07748432 
-0.00148497 	 0.07808688  	 0.07808713 
-0.00135305 	 0.07820608  	 0.07820633 
-0.00123285 	 0.07784258  	 0.07784284 
-0.00112332 	 0.07699995  	 0.07700022 
-0.00102353 	 0.07568365  	 0.07568392 
-0.00093260 	 0.07389980  	 0.07390008 
-0.00084975 	 0.07165633  	 0.07165661 
-0.00077426 	 0.06896294  	 0.06896323 
-0.00070548 	 0.06582980  	 0.06583010 
-0.00064281 	 0.06226858  	 0.06226890 
-0.00058570 	 0.05829005  	 0.05829037 
-0.00053367 	 0.05390887  	 0.05390921 
-0.00048626 	 0.04913727  	 0.04913761 
-0.00044306 	 0.04398900  	 0.04398936 
-0.00040370 	 0.03847815  	 0.03847852 
-0.00036784 	 0.03261928  	 0.03261967 
-0.00033516 	 0.02642523  	 0.02642563 
-0.00030539 	 0.01991170  	 0.01991201 
-0.00027826 	 0.01308997  	 0.01309030 
-0.00025354 	 0.00597522  	 0.00597556 
-0.00023101 	 -0.00142205 	 -0.00142170
-0.00021049 	 -0.00908356 	 -0.00908319
-0.00019179 	 -0.01700060 	 -0.01700022
-0.00017475 	 -0.02516092 	 -0.02516052
-0.00015923 	 -0.03354866 	 -0.03354825
-0.00014508 	 -0.04216073 	 -0.04216030
-0.00013219 	 -0.05097998 	 -0.05097976
-0.00012045 	 -0.05999340 	 -0.05999316
-0.00010975 	 -0.06919741 	 -0.06919716
-0.00010000 	 -0.07858029 	 -0.07858003
