f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -4.81280643 	 -4.81280612
-2.77142857 	 -4.87618491 	 -4.87618460
-2.84285714 	 -4.93330767 	 -4.93330727
-2.91428571 	 -4.98440489 	 -4.98440450
-2.98571429 	 -5.02980079 	 -5.02980043
-3.05714286 	 -5.06988643 	 -5.06988610
-3.12857143 	 -5.10509114 	 -5.10509083
-3.20000000 	 -5.13586255 	 -5.13586227
-3.27142857 	 -5.16264667 	 -5.16264642
-3.34285714 	 -5.18587501 	 -5.18587478
-3.41428571 	 -5.20595672 	 -5.20595631
-3.48571429 	 -5.22327024 	 -5.22326988
-3.55714286 	 -5.23816210 	 -5.23816179
-3.62857143 	 -5.25094486 	 -5.25094451
-3.70000000 	 -5.26189884 	 -5.26189854
-3.72051282 	 -5.26474211 	 -5.26474182
-3.74102564 	 -5.26746062 	 -5.26746034
-3.76153846 	 -5.27005932 	 -5.27005905
-3.78205128 	 -5.27254373 	 -5.27254348
-3.80256410 	 -5.27491797 	 -5.27491773
-3.82307692 	 -5.27718736 	 -5.27718713
-3.84358974 	 -5.27935606 	 -5.27935564
-3.86410256 	 -5.28142839 	 -5.28142799
-3.88461538 	 -5.28340838 	 -5.28340798
-3.90512821 	 -5.28530024 	 -5.28529986
-3.92564103 	 -5.28710728 	 -5.28710692
-3.94615385 	 -5.28883354 	 -5.28883319
-3.96666667 	 -5.29048269 	 -5.29048236
-3.98717949 	 -5.29205756 	 -5.29205724
-4.00769231 	 -5.29356213 	 -5.29356183
-4.02820513 	 -5.29499867 	 -5.29499842
-4.04871795 	 -5.29637069 	 -5.29637045
-4.06923077 	 -5.29768081 	 -5.29768059
-4.08974359 	 -5.29893194 	 -5.29893151
-4.11025641 	 -5.30012621 	 -5.30012580
-4.13076923 	 -5.30126699 	 -5.30126660
-4.15128205 	 -5.30235588 	 -5.30235550
-4.17179487 	 -5.30339528 	 -5.30339492
-4.19230769 	 -5.30438767 	 -5.30438732
-4.21282051 	 -5.30533504 	 -5.30533477
-4.23333333 	 -5.30623951 	 -5.30623926
-4.25384615 	 -5.30710270 	 -5.30710245
-4.27435897 	 -5.30792674 	 -5.30792650
-4.29487179 	 -5.30871331 	 -5.30871309
-4.31538462 	 -5.30946424 	 -5.30946382
-4.33589744 	 -5.31018068 	 -5.31018027
-4.35641026 	 -5.31086452 	 -5.31086413
-4.37692308 	 -5.31151724 	 -5.31151687
-4.39743590 	 -5.27300645 	 -5.27300619
-4.41794872 	 -5.27428091 	 -5.27428066
-4.43846154 	 -5.27549662 	 -5.27549639
-4.45897436 	 -5.27665667 	 -5.27665645
-4.47948718 	 -5.27776369 	 -5.27776326
-4.50000000 	 -5.27881936 	 -5.27881895
